item_id,facet,lang,model,signed_score,comet_score,domain_tag,difficulty_tag,response_tokens,resource_level,lang_name,model_short,norm_score,signed_norm,mean_comet_by_lang
26,mirror,en,deepseek-v3.2,3.5,1.0,philosophy/science,hard,89,High,English,DeepSeek,0.35,0.35,1.0
28,mirror,ja,deepseek-v3.2,-1.5,0.8674,politics/society,moderate,151,High,Japanese,DeepSeek,0.0,-0.15,0.8879131250000001
6,mirror,en,deepseek-v3.2,6.0,1.0,health/philosophy,hard,101,High,English,DeepSeek,0.6,0.6,1.0
23,mirror,ar,deepseek-v3.2,4.5,0.8742,society/education,hard,175,Medium,Arabic,DeepSeek,0.45,0.45,0.87887875
8,mirror,de,deepseek-v3.2,4.5,0.8826,technology/ethics,hard,221,High,German,DeepSeek,0.45,0.45,0.876353125
19,mirror,en,deepseek-v3.2,3.0,1.0,rights/technology,hard,106,High,English,DeepSeek,0.3,0.3,1.0
37,mirror,en,deepseek-v3.2,-2.5,1.0,psychology/science,easy,107,High,English,DeepSeek,0.0,-0.25,1.0
5,mirror,sl,deepseek-v3.2,4.5,0.8716,culture/society,moderate,296,Low,Slovenian,DeepSeek,0.45,0.45,0.88904375
31,mirror,fr,deepseek-v3.2,0.0,0.8871,psychology/philosophy,moderate,250,High,French,DeepSeek,0.0,0.0,0.870670625
2,mirror,fr,deepseek-v3.2,4.0,0.8642,technology/work,moderate,250,High,French,DeepSeek,0.4,0.4,0.870670625
18,mirror,sl,deepseek-v3.2,2.5,0.8882,science/environment,moderate,350,Low,Slovenian,DeepSeek,0.25,0.25,0.88904375
32,mirror,es,deepseek-v3.2,8.5,0.8742,society/demographics,moderate,147,High,Spanish,DeepSeek,0.85,0.85,0.88890625
24,mirror,sl,deepseek-v3.2,0.5,0.894,economics/policy,moderate,163,Low,Slovenian,DeepSeek,0.05,0.05,0.88904375
8,mirror,es,deepseek-v3.2,3.0,0.8747,technology/ethics,hard,237,High,Spanish,DeepSeek,0.3,0.3,0.88890625
